House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
12,Ahmed Oval,Katy,White,50,Head,Single,Female,Speech and language therapist,None,Christian
13,Ahmed Oval,Rachel,Warner,61,Head,Married,Female,Barrister's clerk,None,Christian
13,Ahmed Oval,Barry,Warner,61,Husband,Married,Male,"Pharmacist, hospital",None,Christian
13,Ahmed Oval,Jay,Warner,20,Son,Single,Male,University Student,None,Christian
13,Ahmed Oval,Teresa,Warner,16,Daughter,NA,Female,Student,None,NA
14,Ahmed Oval,Melissa,Ward,44,Head,Divorced,Female,Personal assistant,None,Methodist
14,Ahmed Oval,Kenneth,Ward,4,Son,NA,Male,Child,None,NA
14,Ahmed Oval,Alexander,Ward,4,Son,NA,Male,Child,None,NA
15,Ahmed Oval,Ann,Jones,37,Head,Single,Female,"Horticulturist, amenity",None,Catholic
15,Ahmed Oval,Leigh,Owen,33,Partner,Single,Male,Information officer,None,Catholic
15,Ahmed Oval,Charlotte,Jones,5,Daughter,NA,Female,Student,None,NA
15,Ahmed Oval,David,Jones,2,Son,NA,Male,Child,None,NA
16,Ahmed Oval,Kirsty,Baxter,45,Head,Married,Female,"Engineer, electronics",None,Catholic
16,Ahmed Oval,Dylan,Baxter,43,Husband,Married,Male,Oceanographer,None,Catholic
16,Ahmed Oval,Phillip,Baxter,26,Son,Single,Male,Operational investment banker,None,Catholic
16,Ahmed Oval,Dominic,Baxter,22,Son,Single,Male,"Programme researcher, broadcasting/film/video",None,Catholic
17,Ahmed Oval,Kevin,Howard,34,Head,Single,Male,Public house manager,None,None
17,Ahmed Oval,Kyle,Jennings,38,None,Single,Male,"Scientist, clinical (histocompatibility and immunogenetics)",None,Christian
17,Ahmed Oval,Geraldine,Daniels,18,None,Single,Female,Student,None,NA
17,Ahmed Oval,Roy,Carey,22,None,Single,Male,University Student,None,Methodist
17,Ahmed Oval,Dylan,Jones,37,None,Single,Male,Publishing copy,None,Methodist
18,Ahmed Oval,James,Roberts,35,Head,Single,Male,"Engineer, land",None,Christian
18,Ahmed Oval,Sheila,Roberts,5,Daughter,NA,Female,Student,None,NA
18,Ahmed Oval,Marilyn,Roberts,2,Daughter,NA,Female,Child,None,NA
19,Ahmed Oval,Lorraine,George,35,Head,Married,Female,Event organiser,None,None
19,Ahmed Oval,Graham,George,36,Husband,Married,Male,Information systems manager,None,None
19,Ahmed Oval,Hayley,Butcher-George,1,Daughter,NA,Female,Child,None,NA
20,Ahmed Oval,Alice,Connor,38,Head,Divorced,Female,Sports administrator,None,None
20,Ahmed Oval,Gordon,Connor,5,Son,NA,Male,Student,None,NA
21,Ahmed Oval,Olivia,Archer,32,Head,Married,Female,"Education officer, environmental",None,Catholic
21,Ahmed Oval,Glenn,Archer,34,Husband,Married,Male,"Pilot, airline",None,Catholic
21,Ahmed Oval,Guy,Archer,10,Son,NA,Male,Student,None,NA
22,Ahmed Oval,Beth,James,45,Head,Married,Female,Data scientist,None,Catholic
22,Ahmed Oval,Robert,James,48,Husband,Married,Male,Arts administrator,None,None
22,Ahmed Oval,Simon,James,17,Son,NA,Male,Student,None,NA
23,Ahmed Oval,Frederick,Green,35,Head,Married,Male,"Accountant, chartered public finance",None,Christian
23,Ahmed Oval,Geraldine,Green,31,Wife,Married,Female,Chartered loss adjuster,None,Christian
23,Ahmed Oval,Benjamin,Whitehead,36,Lodger,Divorced,Male,Nature conservation officer,None,Christian
24,Ahmed Oval,Sara,Bradshaw,32,Head,Married,Female,Unemployed,None,None
24,Ahmed Oval,Rhys,Bradshaw,33,Husband,Married,Male,Homeopath,None,None
24,Ahmed Oval,Duncan,Bradshaw,5,Son,NA,Male,Student,None,NA
24,Ahmed Oval,Mary,Clarke-Bradshaw,5,Daughter,NA,Female,Student,None,NA
24,Ahmed Oval,Jacob,Clarke-Bradshaw,2,Son,NA,Male,Child,None,NA
25,Ahmed Oval,Anne,George,38,Head,Single,Female,Merchant navy officer,None,None
25,Ahmed Oval,Christopher,Smith,40,Partner,Single,Male,Sports coach,None,None
25,Ahmed Oval,James,George,5,Son,NA,Male,Student,None,NA
25,Ahmed Oval,Geoffrey,Evans,64,Lodger,Single,Male,TEFL teacher,None,Methodist
26,Ahmed Oval,Helen,Jackson,38,Head,Married,Female,Associate Professor,None,None
26,Ahmed Oval,Kevin,Jackson,44,Husband,Married,Male,Special effects artist,None,None
26,Ahmed Oval,Colin,Jackson,15,Son,NA,Male,Student,None,NA
26,Ahmed Oval,Bethany,Jackson,9,Daughter,NA,Female,Student,None,NA
26,Ahmed Oval,Danny,Jackson,7,Son,NA,Male,Student,None,NA
27,Ahmed Oval,Daniel,Harrison,74,Head,Widowed,Male,Retired Emergency planning/management officer,None,None
27,Ahmed Oval,Donald,Rogers,14,Grandson,NA,Male,Student,None,NA
27,Ahmed Oval,Terry,Roberts,12,Grandson,NA,Male,Student,None,NA
28,Ahmed Oval,Steven,Heath,41,Head,Married,Male,Illustrator,None,None
28,Ahmed Oval,Karen,Miles,42,Wife,Married,Female,"Teacher, adult education",None,None
29,Ahmed Oval,Hugh,Miles,41,Head,Single,Male,Optometrist,None,Christian
29,Ahmed Oval,Gillian,Allen,38,Partner,Single,Female,Software engineer,None,Christian
29,Ahmed Oval,Ronald,Miles,12,Son,NA,Male,Student,None,NA
30,Ahmed Oval,Ruth,Reid,50,Head,Married,Female,Hydrogeologist,None,Methodist
30,Ahmed Oval,Lawrence,Reid,54,Husband,Married,Male,"Development worker, international aid",None,Methodist
30,Ahmed Oval,Michelle,Reid,15,Daughter,NA,Female,Student,None,NA
31,Ahmed Oval,Gary,Perry,60,Head,Single,Male,"Geneticist, molecular",None,Christian
32,Ahmed Oval,Daniel,Walker,39,Head,Married,Male,Unemployed,None,Christian
32,Ahmed Oval,Samantha,Walker,38,Wife,Married,Female,"Engineer, civil (consulting)",None,None
33,Ahmed Oval,Judith,Hart,44,Head,Married,Female,"Nurse, learning disability",None,None
33,Ahmed Oval,Ryan,Hart,45,Husband,Married,Male,"Therapist, art",None,None
33,Ahmed Oval,Ian,Holmes,6,Son,NA,Male,Student,None,NA
33,Ahmed Oval,Maria,Holmes,4,Daughter,NA,Female,Child,None,NA
34,Ahmed Oval,Frances,Fraser,56,Head,Married,Female,Chiropodist,None,Christian
34,Ahmed Oval,Jeffrey,Fraser,63,Husband,Married,Male,Unemployed,None,Christian
34,Ahmed Oval,Andrea,Boyle-Fraser,11,Granddaughter,NA,Female,Student,None,NA
34,Ahmed Oval,Denis,Summers,6,Grandson,NA,Male,Student,None,NA
34,Ahmed Oval,Kirsty,Summers,2,Granddaughter,NA,Female,Child,None,NA
35,Ahmed Oval,Patricia,Payne,42,Head,Single,Female,Psychiatric nurse,None,None
35,Ahmed Oval,Elliott,Cook,46,Partner,Single,Male,"Therapist, art",None,None
35,Ahmed Oval,Philip,Payne,16,Son,NA,Male,Student,None,NA
36,Ahmed Oval,Helen,Lawrence,58,Head,Married,Female,"Accountant, chartered management",None,Christian
36,Ahmed Oval,Philip,Lawrence,62,Husband,Married,Male,Armed forces operational officer,None,None
36,Ahmed Oval,Elizabeth,Lawrence,14,Daughter,NA,Female,Student,None,NA
1,Smart Drive,Gemma,Harris,79,Head,Married,Female,Retired Historic buildings inspector/conservation officer,Physical Disability,Christian
1,Smart Drive,Terence,Harris,85,Husband,Married,Male,Retired Fitness centre manager,None,Christian
2,Smart Drive,Amy,Scott,57,Head,Single,Female,Colour technologist,None,Christian
2,Smart Drive,Keith,Scott,28,Son,Single,Male,Building surveyor,None,Christian
3,Smart Drive,Mitchell,Atkinson,28,Head,Divorced,Male,Chief Strategy Officer,None,Christian
3,Smart Drive,Deborah,Atkinson,5,Daughter,NA,Female,Student,None,NA
4,Smart Drive,Kayleigh,Smith,43,Head,Divorced,Female,"Engineer, automotive",None,Catholic
4,Smart Drive,Holly,Smith,5,Daughter,NA,Female,Student,None,NA
4,Smart Drive,Danielle,Smith,1,Daughter,NA,Female,Child,None,NA
5,Smart Drive,Jessica,Shaw,34,Head,Single,Female,Financial adviser,None,Catholic
5,Smart Drive,Gemma,Shaw,14,Daughter,NA,Female,Student,None,NA
5,Smart Drive,Amy,Shaw,12,Daughter,NA,Female,Student,None,NA
5,Smart Drive,Jake,Shaw,8,Son,NA,Male,Student,None,NA
5,Smart Drive,Maureen,Shaw,7,Daughter,NA,Female,Student,None,NA
6,Smart Drive,Pauline,Dixon,74,Head,Married,Female,Retired Theatre manager,None,Christian
6,Smart Drive,Gareth,Dixon,77,Husband,Married,Male,Retired Company secretary,None,None
7,Smart Drive,Dominic,Davies,89,Head,Married,Male,"Retired Education officer, community",None,Methodist
7,Smart Drive,Alice,Davies,87,Wife,Married,Female,Retired Accommodation manager,None,Methodist
7,Smart Drive,Katy,Turner,43,None,Married,Female,"Engineer, drilling",None,Christian
7,Smart Drive,Gerard,Turner,43,None,Married,Male,Adult nurse,None,Christian
7,Smart Drive,Jasmine,Turner,9,None,NA,Female,Student,None,NA
1,Exchange Street,Yvonne,Roberts,19,Head,Married,Female,University Student,None,None
1,Exchange Street,Alexander,Roberts,23,Husband,Married,Male,Acupuncturist,None,None
2,Exchange Street,Harriet,Phillips,43,Head,Single,Female,Unemployed,None,Christian
2,Exchange Street,Christine,Phillips,18,Daughter,Single,Female,Student,None,Christian
3,Exchange Street,Martyn,Goddard-Jones,40,Head,Married,Male,Sub,None,None
3,Exchange Street,Margaret,Goddard-Jones,40,Wife,Married,Female,"Scientist, product/process development",None,None
4,Exchange Street,Jill,Sanderson,36,Head,Single,Female,Dealer,None,None
4,Exchange Street,Debra,Brown,26,Lodger,Single,Female,Contractor,None,Methodist
5,Exchange Street,Megan,Bartlett,44,Head,Single,Female,Unemployed,None,Christian
5,Exchange Street,Tony,Page,30,None,Single,Male,Hydrographic surveyor,None,None
6,Exchange Street,Lisa,Berry,64,Head,Divorced,Female,Unemployed,None,Christian
6,Exchange Street,Jay,Berry,41,Son,Single,Male,Animator,None,Christian
7,Exchange Street,Karen,Francis,61,Head,Single,Female,"Surveyor, building control",None,Christian
7,Exchange Street,Adam,Francis,26,Adopted Son,Single,Male,Unemployed,None,Christian
7,Exchange Street,Claire,Francis,26,Daughter,Single,Female,Museum/gallery exhibitions officer,None,Christian
7,Exchange Street,Stephanie,Francis,26,Daughter,Single,Female,Electrical engineer,None,Christian
7,Exchange Street,Sylvia,Francis,22,Daughter,Single,Female,University Student,None,Christian
8,Exchange Street,Justin,Patel,75,Head,Widowed,Male,Retired Broadcast engineer,None,None
9,Exchange Street,Ricky,Ali,29,Head,Married,Male,"Lecturer, higher education",None,None
9,Exchange Street,Heather,Ali,28,Wife,Married,Female,Marine scientist,None,None
10,Exchange Street,Kirsty,Bell,19,Head,Single,Female,University Student,None,None
10,Exchange Street,Gareth,Jones,41,None,Single,Male,"Scientist, biomedical",None,Christian
10,Exchange Street,Irene,Bailey,38,None,Single,Female,"Education officer, community",None,None
10,Exchange Street,Adam,Jones,49,None,Single,Male,Unemployed,None,None
1,Ellis Trace,Rita,Matthews,39,Head,Divorced,Female,"Administrator, education",None,None
1,Ellis Trace,Jane,Matthews,19,Daughter,Single,Female,Unemployed,None,None
1,Ellis Trace,Jennifer,Matthews,16,Daughter,NA,Female,Student,None,NA
1,Ellis Trace,Olivia,Matthews,13,Daughter,NA,Female,Student,None,NA
1,Ellis Trace,Roy,Matthews,10,Son,NA,Male,Student,None,NA
2,Ellis Trace,Lisa,Thomas-Parry,55,Head,Married,Female,"Lecturer, further education",None,Christian
2,Ellis Trace,Tony,Thomas-Parry,57,Husband,Married,Male,Medical laboratory scientific officer,None,Christian
2,Ellis Trace,Lydia,Thomas-Parry,21,Daughter,Single,Female,University Student,None,Christian
2,Ellis Trace,Christian,Thomas-Parry,17,Son,NA,Male,Student,None,NA
3,Ellis Trace,Teresa,Chapman,35,Head,Single,Female,"Scientist, audiological",None,None
3,Ellis Trace,Thomas,Phillips,37,Partner,Single,Male,Science writer,None,None
4,Ellis Trace,Barbara,Bibi,43,Head,Divorced,Female,Unemployed,None,Methodist
4,Ellis Trace,Gareth,Bibi,20,Son,Single,Male,University Student,None,None
5,Ellis Trace,Katie,Vaughan,33,Head,Single,Female,Office manager,None,None
5,Ellis Trace,Albert,Horton,28,None,Single,Male,Music therapist,None,None
6,Ellis Trace,Charlene,James,34,Head,Married,Female,IT trainer,None,Jewish
6,Ellis Trace,Maurice,James,36,Husband,Married,Male,Dietitian,None,None
6,Ellis Trace,Alison,James,10,Daughter,NA,Female,Student,None,NA
6,Ellis Trace,Charles,James,9,Son,NA,Male,Student,None,NA
7,Ellis Trace,Naomi,Thompson,57,Head,Single,Female,"Engineer, aeronautical",None,Christian
7,Ellis Trace,Frank,Hill,35,None,Single,Male,Interior and spatial designer,None,Catholic
7,Ellis Trace,Luke,Dale,39,None,Single,Male,"Engineer, water",None,Catholic
8,Ellis Trace,Kate,Chan,26,Head,Married,Female,Emergency planning/management officer,None,Catholic
8,Ellis Trace,Leigh,Chan,31,Husband,Married,Male,Farm manager,None,None
8,Ellis Trace,Martyn,Chambers-Chan,10,Son,NA,Male,Student,None,NA
8,Ellis Trace,Irene,Chambers-Chan,8,Daughter,NA,Female,Student,None,NA
8,Ellis Trace,Gary,Chambers-Chan,7,Son,NA,Male,Student,None,NA
9,Ellis Trace,Simon,Barlow,67,Head,Married,Male,Tax adviser,None,Christian
9,Ellis Trace,Maureen,Barlow,62,Wife,Married,Female,"Chemist, analytical",None,Christian
10,Ellis Trace,Keith,Andrews,43,Head,Single,Male,Engineering geologist,None,Catholic
11,Ellis Trace,Stephanie,Armstrong,39,Head,Married,Female,Dispensing optician,None,Christian
11,Ellis Trace,Allan,Armstrong,44,Husband,Married,Male,Unemployed,None,Christian
11,Ellis Trace,Jemma,Fraser-Armstrong,18,Daughter,Single,Female,Student,None,Christian
11,Ellis Trace,Robin,Fraser-Armstrong,14,Son,NA,Male,Student,None,NA
11,Ellis Trace,Alex,Fraser-Armstrong,10,Son,NA,Male,Student,None,NA
12,Ellis Trace,Pauline,Wright,54,Head,Married,Female,"Engineer, manufacturing",None,None
12,Ellis Trace,Neil,Wright,56,Husband,Married,Male,Unemployed,None,None
12,Ellis Trace,Lewis,Wright,21,Son,Single,Male,Audiological scientist,None,None
12,Ellis Trace,Tony,Wright,18,Son,Single,Male,Student,None,None
12,Ellis Trace,Dennis,Wright,14,Son,NA,Male,Student,None,NA
13,Ellis Trace,Grace,Harrison,20,Head,Divorced,Female,Ecologist,None,None
13,Ellis Trace,John,Harris,49,Lodger,Divorced,Male,Phytotherapist,None,Methodist
13,Ellis Trace,Judith,Nelson,61,Lodger,Single,Female,Unemployed,None,Christian
14,Ellis Trace,Julie,Taylor,58,Head,Divorced,Female,Intelligence analyst,None,Christian
15,Ellis Trace,Jill,Alexander,20,Head,Single,Female,University Student,None,None
16,Ellis Trace,Elizabeth,Newman,27,Head,Single,Female,Medical technical officer,None,None
16,Ellis Trace,Stewart,Reynolds,34,Visitor,Single,Male,Research scientist (physical sciences),None,Methodist
16,Ellis Trace,Karl,Walker,60,Lodger,Single,Male,Artist,None,None
16,Ellis Trace,Robin,Simmons,63,Lodger,Single,Male,Research scientist (medical),None,Christian
17,Ellis Trace,Maria,Campbell,57,Head,Single,Female,Higher education careers adviser,None,None
17,Ellis Trace,Nigel,Francis,57,Partner,Single,Male,Lexicographer,None,None
18,Ellis Trace,Heather,Watts,27,Head,Married,Female,Outdoor activities/education manager,None,None
18,Ellis Trace,Gareth,Watts,28,Husband,Married,Male,"Runner, broadcasting/film/video",None,None
18,Ellis Trace,Callum,Watts,7,Son,NA,Male,Student,None,NA
18,Ellis Trace,Christian,Watts,7,Son,NA,Male,Student,None,NA
19,Ellis Trace,Samuel,Hyde,65,Head,Married,Male,"Engineer, control and instrumentation",None,Christian
19,Ellis Trace,Emma,Hyde,65,Wife,Married,Female,Communications engineer,None,Christian
20,Ellis Trace,Sylvia,Powell,41,Head,Married,Female,"Engineer, electronics",None,Christian
20,Ellis Trace,Ben,Powell,44,Husband,Married,Male,"Engineer, electrical",None,None
21,Ellis Trace,Rosemary,Lewis,41,Head,Divorced,Female,Dramatherapist,None,Catholic
21,Ellis Trace,Vanessa,Lewis,3,Daughter,NA,Female,Child,None,NA
21,Ellis Trace,Norman,Lewis,1,Son,NA,Male,Child,None,NA
21,Ellis Trace,Richard,Burton,32,Sibling,Single,Male,"Biochemist, clinical",None,None
22,Ellis Trace,Julia,Howell,65,Head,Widowed,Female,Unemployed,None,Christian
22,Ellis Trace,Graham,Howell,43,Son,Single,Male,Forest/woodland manager,None,Christian
23,Ellis Trace,Hannah,Burns,68,Head,Married,Female,Retired Personal assistant,None,None
23,Ellis Trace,Dean,Burns,70,Husband,Married,Male,Retired Armed forces technical officer,None,None
24,Ellis Trace,George,Reed,41,Head,Single,Male,English as a foreign language teacher,None,None
25,Ellis Trace,Jodie,Greenwood,57,Head,Single,Female,"Designer, television/film set",None,Catholic
25,Ellis Trace,Rhys,Hayes,62,Partner,Single,Male,"Production assistant, television",None,Catholic
26,Ellis Trace,Louise,White,88,Head,Single,Female,Retired Financial controller,None,Christian
27,Ellis Trace,Dean,Gill,53,Head,Single,Male,Accommodation manager,None,Christian
27,Ellis Trace,Tina,Peters,34,None,Single,Female,"Designer, industrial/product",None,Sith
27,Ellis Trace,Norman,Holmes,45,None,Single,Male,Radiation protection practitioner,None,Catholic
27,Ellis Trace,Carol,Lloyd,57,None,Single,Female,"Designer, ceramics/pottery",None,Christian
28,Ellis Trace,Margaret,Gallagher,56,Head,Single,Female,Hydrogeologist,None,None
29,Ellis Trace,Danny,Davies-Jones,65,Head,Married,Male,Pharmacologist,None,None
29,Ellis Trace,Eileen,Davies-Jones,63,Wife,Married,Female,Chemical engineer,None,None
30,Ellis Trace,Vanessa,Smith,62,Head,Married,Female,Copy,None,Christian
30,Ellis Trace,Dennis,Smith,64,Husband,Married,Male,Environmental education officer,None,Christian
31,Ellis Trace,Jake,Barrett,46,Head,Single,Male,Broadcast journalist,None,Christian
31,Ellis Trace,Joanna,Barnes,44,Partner,Single,Female,"Librarian, academic",None,Christian
32,Ellis Trace,Leanne,Taylor,52,Head,Married,Female,Patent examiner,None,None
32,Ellis Trace,Jordan,Taylor,56,Husband,Married,Male,Environmental consultant,None,None
32,Ellis Trace,Tracey,Taylor,13,Daughter,NA,Female,Student,None,NA
32,Ellis Trace,Eleanor,Taylor,11,Daughter,NA,Female,Student,None,NA
33,Ellis Trace,Diana,Bevan,36,Head,Single,Female,Catering manager,None,Christian
34,Ellis Trace,Lucy,Hart,44,Head,Single,Female,Technical brewer,None,None
34,Ellis Trace,Bethan,Hart,19,Daughter,Single,Female,University Student,None,None
35,Ellis Trace,Clive,Evans,38,Head,Married,Male,Community education officer,None,Catholic
35,Ellis Trace,Georgina,Evans,36,Wife,Married,Female,Retail merchandiser,None,Catholic
36,Ellis Trace,Leon,Watson,59,Head,Single,Male,"Engineer, aeronautical",None,Christian
36,Ellis Trace,Iain,Hall,23,None,Single,Male,Unemployed,None,Christian
36,Ellis Trace,Natasha,Day,42,None,Single,Female,Market researcher,None,Christian
36,Ellis Trace,Kate,Anderson,38,None,Single,Female,Insurance claims handler,None,Methodist
36,Ellis Trace,Ashley,Wood,27,None,Single,Male,Web designer,None,Catholic
37,Ellis Trace,Elizabeth,Harper,43,Head,Single,Female,Trading standards officer,None,None
37,Ellis Trace,Tina,Harper,1,Daughter,NA,Female,Child,None,NA
38,Ellis Trace,Clifford,Morley,44,Head,Single,Male,Unemployed,None,Catholic
39,Ellis Trace,Carly,Buckley,47,Head,Married,Female,Psychiatric nurse,None,Catholic
39,Ellis Trace,Darren,Buckley,51,Husband,Married,Male,IT technical support officer,None,None
39,Ellis Trace,Dean,Buckley,13,Son,NA,Male,Student,None,NA
39,Ellis Trace,Max,Buckley,10,Son,NA,Male,Student,None,NA
39,Ellis Trace,Rachael,Buckley,9,Daughter,NA,Female,Student,None,NA
40,Ellis Trace,Kate,Martin,24,Head,Married,Female,"Programme researcher, broadcasting/film/video",None,None
40,Ellis Trace,Phillip,Martin,27,Husband,Married,Male,"Nurse, children's",None,None
41,Ellis Trace,Kerry,Curtis,67,Head,Divorced,Female,Herpetologist,None,Christian
42,Ellis Trace,Francis,Freeman,44,Head,Married,Male,Unemployed,None,Christian
42,Ellis Trace,Jean,Freeman,42,Wife,Married,Female,Forest/woodland manager,None,None
42,Ellis Trace,Ashley,Freeman,11,Son,NA,Male,Student,None,NA
43,Ellis Trace,Frank,Lyons,58,Head,Married,Male,Psychiatric nurse,None,Christian
43,Ellis Trace,Susan,Lyons,54,Wife,Married,Female,"Engineer, technical sales",None,Christian
43,Ellis Trace,Donna,Marshall,8,Granddaughter,NA,Female,Student,None,NA
44,Ellis Trace,Garry,Donnelly,73,Head,Married,Male,"Retired Education officer, museum",None,Christian
44,Ellis Trace,Lynne,Donnelly,67,Wife,Married,Female,Computer games developer,None,None
45,Ellis Trace,Harriet,Long,74,Head,Widowed,Female,Retired Tax adviser,None,Catholic
46,Ellis Trace,Ellie,Vincent,47,Head,Single,Female,Neurosurgeon,None,Methodist
46,Ellis Trace,Sandra,Vincent,8,Daughter,NA,Female,Student,None,NA
47,Ellis Trace,Jane,Parker,41,Head,Divorced,Female,IT consultant,None,None
47,Ellis Trace,Wendy,Parker,14,Daughter,NA,Female,Student,None,NA
47,Ellis Trace,Chelsea,Parker,12,Daughter,NA,Female,Student,None,NA
47,Ellis Trace,James,Walsh-Parker,9,Son,NA,Male,Student,None,NA
48,Ellis Trace,Jane,O'Brien,34,Head,Single,Female,"Designer, fashion/clothing",None,Catholic
48,Ellis Trace,Shirley,Smith,26,Lodger,Single,Female,Manufacturing engineer,None,Christian
48,Ellis Trace,Lynn,Baxter,22,Lodger,Widowed,Female,University Student,None,None
1,Hunter Junction,Marian,Greenwood,45,Head,Divorced,Female,"Research officer, trade union",None,Catholic
2,Hunter Junction,Jean,Sykes,53,Head,Married,Female,Geographical information systems officer,None,Christian
2,Hunter Junction,Tony,Sykes,50,Husband,Married,Male,"Engineer, control and instrumentation",None,None
3,Hunter Junction,Mary,Edwards,30,Head,Divorced,Female,Cytogeneticist,None,Methodist
3,Hunter Junction,Maureen,Edwards,4,Step-Daughter,NA,Female,Child,None,NA
4,Hunter Junction,Kimberley,Brooks,34,Head,Married,Female,Herbalist,None,Christian
4,Hunter Junction,Shane,Brooks,36,Husband,Married,Male,Operations geologist,None,Christian
4,Hunter Junction,Brandon,Brooks,17,Son,NA,Male,Student,None,NA
5,Hunter Junction,Max,Cook,60,Head,Married,Male,Unemployed,None,None
5,Hunter Junction,Julia,Cook,58,Wife,Married,Female,Nutritional therapist,None,None
5,Hunter Junction,Samantha,Cox,25,Daughter,Single,Female,Metallurgist,None,None
5,Hunter Junction,Sarah,Cox,21,Daughter,Single,Female,University Student,None,None
5,Hunter Junction,Kerry,Cox,14,Daughter,NA,Female,Student,None,NA
6,Hunter Junction,Joseph,Patel,40,Head,Single,Male,Senior tax professional/tax inspector,None,None
6,Hunter Junction,Joyce,Cole,63,None,Single,Female,"Therapist, horticultural",None,None
6,Hunter Junction,Alice,Kaur,60,None,Single,Female,Unemployed,None,Christian
7,Hunter Junction,Annette,Brown,20,Head,Single,Female,University Student,None,Christian
8,Hunter Junction,Alex,Holmes,21,Head,Single,Male,University Student,None,None
8,Hunter Junction,Danny,Wilson,61,None,Single,Male,Research scientist (maths),None,Christian
9,Hunter Junction,Joyce,White,43,Head,Single,Female,IT consultant,None,None
9,Hunter Junction,Shaun,Hargreaves,49,Partner,Single,Male,Speech and language therapist,None,None
9,Hunter Junction,Barbara,White,14,Daughter,NA,Female,Student,None,NA
10,Hunter Junction,Paula,Ingram,23,Head,Married,Female,Early years teacher,None,None
10,Hunter Junction,David,Ingram,19,Husband,Married,Male,University Student,None,None
11,Hunter Junction,Wendy,Jennings,19,Head,Married,Female,University Student,None,Methodist
11,Hunter Junction,Richard,Jennings,23,Husband,Married,Male,"Accountant, chartered certified",None,Methodist
12,Hunter Junction,Maria,Dunn,21,Head,Single,Female,University Student,None,None
12,Hunter Junction,Norman,Hayes,18,None,Single,Male,University Student,None,None
12,Hunter Junction,Diana,Cooper,24,None,Single,Female,PhD Student,None,Christian
12,Hunter Junction,Beth,Brennan,18,None,Single,Female,University Student,None,Christian
13,Hunter Junction,Kevin,Harvey,49,Head,Married,Male,Tourist information centre manager,None,Catholic
13,Hunter Junction,Wendy,Harvey,49,Wife,Married,Female,Licensed conveyancer,None,Catholic
13,Hunter Junction,Tracey,Harvey,21,Daughter,Single,Female,University Student,None,Catholic
13,Hunter Junction,Timothy,Harvey,16,Son,NA,Male,Student,None,NA
14,Hunter Junction,Abbie,Wilkins,58,Head,Married,Female,Furniture conservator/restorer,None,None
14,Hunter Junction,Ross,Wilkins,60,Husband,Married,Male,Data scientist,None,None
14,Hunter Junction,Geoffrey,Wilkins,18,Son,Single,Male,Student,None,None
14,Hunter Junction,Conor,Wilkins,8,Son,NA,Male,Student,None,NA
14,Hunter Junction,Sandra,Wilkins,6,Daughter,NA,Female,Student,None,NA
15,Hunter Junction,Oliver,Green,68,Head,Widowed,Male,Retired Environmental education officer,None,None
16,Hunter Junction,Stephanie,Edwards,68,Head,Widowed,Female,Retired Science writer,None,None
16,Hunter Junction,Marian,Edwards,24,Daughter,Single,Female,Hydrogeologist,None,None
16,Hunter Junction,Jane,Edwards,20,Daughter,Divorced,Female,University Student,None,None
17,Hunter Junction,Josephine,Rogers,33,Head,Single,Female,Fashion designer,None,None
17,Hunter Junction,Howard,Allen,33,Partner,Single,Male,Air cabin crew,None,None
17,Hunter Junction,Tony,Rogers,2,Son,NA,Male,Child,None,NA
18,Hunter Junction,Emily,Patel,67,Head,Widowed,Female,"Nurse, children's",None,Methodist
19,Hunter Junction,Mathew,Dale,58,Head,Single,Male,Contractor,None,Methodist
19,Hunter Junction,Jennifer,James,45,None,Single,Female,"Designer, graphic",None,None
19,Hunter Junction,Guy,Wright,58,None,Single,Male,Data scientist,None,Christian
19,Hunter Junction,Sheila,Thomas,30,None,Single,Female,Broadcast presenter,None,None
20,Hunter Junction,Lynne,Godfrey,47,Head,Single,Female,Psychiatrist,None,Catholic
20,Hunter Junction,Stuart,Ryan,51,Partner,Single,Male,Osteopath,None,Catholic
20,Hunter Junction,Joshua,Godfrey,2,Son,NA,Male,Child,None,NA
21,Hunter Junction,Sean,Williams,74,Head,Married,Male,Retired Farm manager,None,Methodist
21,Hunter Junction,Olivia,Williams,73,Wife,Married,Female,Retired Materials engineer,None,Methodist
22,Hunter Junction,Guy,Wells,54,Head,Married,Male,"Designer, jewellery",None,Christian
22,Hunter Junction,Alison,Wells,55,Wife,Married,Female,Tax adviser,None,None
23,Hunter Junction,Melanie,Bolton,80,Head,Divorced,Female,Retired Museum/gallery conservator,None,Christian
24,Hunter Junction,Frances,Smart,36,Head,Single,Female,IT sales professional,None,Methodist
25,Hunter Junction,Catherine,Hayes,81,Head,Married,Female,Retired Phytotherapist,None,Methodist
25,Hunter Junction,Jeffrey,Hayes,80,Husband,Married,Male,"Retired Surveyor, mining",None,None
26,Hunter Junction,Owen,Patterson,27,Head,Single,Male,Banker,None,Christian
26,Hunter Junction,Olivia,Jackson,28,Partner,Single,Female,Product/process development scientist,None,Christian
26,Hunter Junction,Marilyn,Patterson,10,Daughter,NA,Female,Student,None,NA
26,Hunter Junction,Harriet,Patterson,6,Daughter,NA,Female,Student,None,NA
26,Hunter Junction,Sean,Patterson,0,Son,NA,Male,Child,None,NA
1,Duck Mills,Elizabeth,Higgins,38,Head,Married,Female,Dispensing optician,None,Christian
1,Duck Mills,Robin,Higgins,42,Husband,Married,Male,Physiological scientist,None,None
